Last updated,Ticket updated,Ticket created - Date,Country,Brand(상세),Category,Requested Channel type,1차 Defect Reason or Inquiries,2차 Defect Reason or Inquiries,Device,Product Name,Power Accessories _categories,Product Name: Caseology,Purchase Date - Date,ESC. 사유,Tier 2 Escalated,❗사진/영상 유무❗,최종 고객 대응,Order ID,ASIN,★문의SKU,T1 → T2,T2 → T3,"✅전체 주문 (Product Issue, 아크테크X)",❎전체 환불,✳️슈피겐 환불,Agent replies brackets,Agent replies,Agent wait time (min),On-hold time (min),링크,MCF 발송
1000154986,2026-08-16,2026-08-16,UK,CASE,4. Product Issue,SQ_website,(Case)_버튼부파손,,iPhone 16 Pro,Ultra Hybrid T MagFit,,,2024-12-04,워런티 기간 불만,TRUE,Yes,도움불가,202-4468798-6425958,B0D7B4BYTY,ACS08512,1,,1,0,0,1,1,1790,0,https://spigenhelp.zendesk.com/agent/tickets/1000154986,0
1000155033,2026-08-16,2026-08-16,JP,SP,4. Product Issue,spigen.support@spigen.com,(SP)_글라스깨짐,,iPhone 15 Pro Max,SP_Glas.tR Optik Pro,,,2026-07-10,,FALSE,Yes,환불,249-3136673-4460639,B0DCCJ9828,AGL08861,,,2,0,0,3-5,4,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155033,0
1000155037,2026-08-14,2026-08-14,IN,CASE,4. Product Issue,spigen.support@spigen.com,(Case)_황변,,Galaxy S25 Ultra,Ultra Hybrid MagFit,,,2026-07-05,,FALSE,Yes,환불,403-1574491-3421168,B0DJ9TQLD1,ACS08956,,,1,0,0,3-5,4,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155037,
1000155064,2026-08-14,2026-08-14,UK,CASE,4. Product Issue,SQ_website,(Case)_황변,,iPhone 16 Pro Max,Ultra Hybrid T MagFit,,,2025-08-19,,FALSE,Yes,환불,206-6890107-1721116,B0D7B143L8,ACS08505,,,4,1,1,2,2,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155064,0
1000155088,2026-08-16,2026-08-16,IN,CASE,4. Product Issue,spigen.support@spigen.com,(Case)_TPU늘어남,2차_(Other Inquiry)_감사인사,Galaxy S25,Rugged Armor MagFit,,,2025-10-05,,FALSE,Yes,환불,408-5243098-5683540,B0DJ9V3RNW,ACS08998,,,2,1,0,3-5,5,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155088,
1000155210,2026-08-15,2026-08-15,ES,CASE,4. Product Issue,SQ_website,(Case)_황변,,Galaxy S26 Ultra,Ultra Hybrid MagFit,,,2026-03-01,,FALSE,Yes,환불,404-3855277-9462758,B0FVBMVTRH,ACS10958,,,6,0,0,3-5,3,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155210,0
1000155281,2026-08-17,2026-08-17,DE,SP,4. Product Issue,spigen.support@spigen.com,(SP)_글라스깨짐,,Google Pixel 9a,SP_Glas.tR EZ Fit Slim,,,2026-03-10,MCF발송,TRUE,Yes,MCF 발송,306-1680711-7660334,B0DSCNWSKF,AGL08938,1,,2,0,0,3-5,4,77,0,https://spigenhelp.zendesk.com/agent/tickets/1000155281,1
1000155299,2026-08-14,2026-08-14,UK,SDA,4. Product Issue,SQ_website,(SDA)_제품품질불만,,Apple Watch Ultra 2 (49mm),Modern Fit,,,2026-06-25,MCF발송,TRUE,Yes,일반안내,203-7967360-5435535,B0DNRTVCWP,AMP09105,1,1,2,0,0,3-5,5,6,294,https://spigenhelp.zendesk.com/agent/tickets/1000155299,0
1000155354,2026-08-15,2026-08-15,IN,CASE,4. Product Issue,SQ_website,(Case)_황변,,iPhone 17 Pro Max,Ultra Hybrid,,,2025-10-18,,FALSE,Yes,환불,403-0975380-3473149,B0FD25XK76,ACS10033,,,8,0,0,2,2,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155354,
1000155364,2026-08-15,2026-08-15,UK,CASE,4. Product Issue,SQ_website,(Case)_버튼부파손,,알 수 없음_추가정보 필요,알 수 없음  (No product info),,,,강성 컴플레인,TRUE,No,도움불가,해당없음,해당없음,해당없음,1,,N/A,N/A,N/A,3-5,4,1528,0,https://spigenhelp.zendesk.com/agent/tickets/1000155364,
1000155368,2026-08-14,2026-08-14,DE,CASE,4. Product Issue,SQ_website,(Case)_재질,2차_(Other Inquiry)_감사인사,iPhone 17,Ultra Hybrid,,,2026-07-27,,FALSE,No,일반안내,305-1090692-5777928,B0FD2P1ZRC,ACS10085,,,1,0,0,2,2,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155368,0
1000155385,2026-08-17,2026-08-17,FR,CASE,6. Product Inquiry,Amazon Buyer Message,(Sales Inquiry)_출시일정문의,,Galaxy Z Fold 8,Air Fit Pro MagFit,,,,출시/재입고 문의,TRUE,No,일반안내,해당없음,B0GMTH1HRZ,ACS11559,1,1,N/A,N/A,N/A,2,2,60,12,https://spigenhelp.zendesk.com/agent/tickets/1000155385,
1000155400,2026-08-14,2026-08-14,IT,CASE,4. Product Issue,SQ_website,(Case)_황변,,iPhone 17 Pro,Ultra Hybrid T MagFit,,,2026-01-11,강성 컴플레인,TRUE,Yes,환불,405-7347945-0235508,B0FH5V4RL6,ACS10470,1,,1,0,0,>5,6,1150,0,https://spigenhelp.zendesk.com/agent/tickets/1000155400,0
1000155403,2026-09-06,2026-09-06,IN,SDA,4. Product Issue,spigen.support@spigen.com,(Case)_황변,,AirPods Pro 3,Liquid Crystal,,,2026-02-09,사진 도용/편집,TRUE,Yes,환불,404-3614978-1337908,B0FCV9SC23,ACS10019,1,,3,1,0,>5,9,6,0,https://spigenhelp.zendesk.com/agent/tickets/1000155403,
1000155408,2026-08-22,2026-08-22,JP,SDA,4. Product Issue,spigen.support@spigen.com,(SDA)_자석탈락,,AirPods Pro 3,Vault,,,2026-01-31,,FALSE,Yes,환불,250-1239329-5064666,B0FCVRHL5J,ACS09828,,,2,0,0,2,2,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155408,0
1000155430,2026-08-20,2026-08-20,DE,SP,2. Delivery,Amazon Buyer Message,(Delivery Issue)_미배송(배송미완료),2차_(Delivery Issue)_Grade_and_Resell,Tesla Model 3/Y,SP_Glas.tR EZ Fit Anti-Glare,,,2026-07-24,Negative Review,TRUE,No,일반안내,306-3486913-9237924,B084BNC3FG,AGL01086,1,,N/A,N/A,N/A,>5,7,65,0,https://spigenhelp.zendesk.com/agent/tickets/1000155430,
1000155445,2026-08-17,2026-08-17,DE,CASE,4. Product Issue,SQ_website,(Case)_킥스탠드이슈,2차_(Other Inquiry)_감사인사,iPhone 17 Pro,Parallax S MagFit,,,2025-11-24,,FALSE,Yes,50% 환불,028-5880568-4842733,B0FD1WB8CT,ACS09964,,,1,0,0,3-5,5,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155445,0
1000155495,2026-08-19,2026-08-19,IN,CASE,4. Product Issue,spigen.support@spigen.com,(Case)_킥스탠드이슈,,Galaxy S25 Ultra,Ultra Hybrid S MagFit,,,2026-06-27,,FALSE,Yes,일반안내,408-3099828-2569936,B0DJ9TGGFR,ACS08963,,,4,0,0,3-5,4,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155495,
1000155507,2026-08-21,2026-08-21,FR,CASE,4. Product Issue,SQ_website,(Case)_황변,,iPhone 17 Pro Max,Ultra Hybrid,,,2026-03-07,,FALSE,Yes,환불,404-0113714-5343546,B0FD25XK76,ACS10033,,,1,0,0,3-5,4,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155507,0
1000155511,2026-08-20,2026-08-20,FR,PAcc.,4. Product Issue,SQ_website,(PAcc.)_충전불량,,iPhone 15,Power Accessories,EF223MS,,2026-04-26,PowerAcc. 불량,TRUE,Yes,환불,408-0681248-8792354,B0FCDK3QM1,ACH09542,1,,1,0,0,3-5,3,19,10,https://spigenhelp.zendesk.com/agent/tickets/1000155511,0
1000155576,2026-08-18,2026-08-18,JP,SDA,4. Product Issue,Amazon Buyer Message,(SDA)_형합이슈,,MacBook Pro,Urban Fit,,,2025-08-31,,FALSE,Yes,50% 환불,250-7218228-0271027,B09R2KCXD2,ACS04213,,,4,1,1,3-5,4,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155576,0
1000155585,2026-08-16,2026-08-16,DE,SDA,4. Product Issue,Amazon Buyer Message,(SDA)_제품품질불만,,Apple Watch Series 11 (46mm),Thin Fit,,,2026-07-22,,FALSE,No,일반안내,304-6793698-5384345,"B0GK5JS4YM, B0FM28CKS2",ACS11409,,,11,5,0,3-5,3,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155585,0
1000155588,2026-08-17,2026-08-17,UK,CASE,4. Product Issue,SQ_website,(Case)_킥스탠드이슈,,Galaxy S26 Ultra,Tough Armor MagFit,,,2026-02-28,MCF발송,TRUE,Yes,MCF 발송,206-2433616-7496357,B0FVBHT64R,ACS11033,1,,2,0,0,3-5,3,85,0,https://spigenhelp.zendesk.com/agent/tickets/1000155588,1
1000155601,2026-08-15,2026-08-15,DE,SP,2. Delivery,Amazon Buyer Message,(Delivery Issue)_파손된상품수령,,iPhone 17 Pro Max,SP_Glas.tR EZ Fit Slim,,,2026-07-19,배송 상태 불만,TRUE,Yes,일반안내,302-1699590-1552355,B0D84R9HYW,AGL07907,1,,5,2,0,3-5,3,43,0,https://spigenhelp.zendesk.com/agent/tickets/1000155601,
1000155635,2026-08-14,2026-08-14,IT,Newbiz,4. Product Issue,SQ_website,(New Biz)_파손,,Tesla Model 3/Y,(New Biz)_VS100,,,2026-04-05,공지된 이슈,TRUE,Yes,환불,402-9369364-4397960,B0F3R8JR5B,ACP09331,,,12,0,0,2,2,33,27,https://spigenhelp.zendesk.com/agent/tickets/1000155635,0
1000155636,2026-08-14,2026-08-14,IN,PAcc.,4. Product Issue,SQ_website,(PAcc.)_충전불량,,알 수 없음_추가정보 필요,Power Accessories,PA2304,,2026-03-24,,FALSE,Yes,회수 (교품/환불),403-8215168-5408357,B0CKSY57JG,ABA06943,,,2,0,0,1,1,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155636,
1000155656,2026-08-15,2026-08-15,IT,SP,4. Product Issue,SQ_website,(SP)_먼지유입,2차_(Other Inquiry)_감사인사,iPhone 16,SP_Glas.tR EZ Fit Slim,,,2026-07-27,,FALSE,Yes,환불,404-9686835-4188369,B0C9RX4MLV,AGL06903,,,3,1,0,2,2,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155656,
1000155683,2026-08-21,2026-08-21,FR,PAcc.,4. Product Issue,SQ_website,(PAcc.)_충전불량,,iPhone 17 Pro Max,Power Accessories,EF223MS,,2026-04-25,PowerAcc. 불량,TRUE,Yes,환불,408-1469389-5881117,B0FCDK3QM1,ACH09542,1,,2,0,1,>5,6,119,139,https://spigenhelp.zendesk.com/agent/tickets/1000155683,0
1000155718,2026-08-23,2026-08-23,IN,CASE,4. Product Issue,spigen.support@spigen.com,(Case)_TPU늘어남,,Galaxy S22,Ultra Hybrid,,,2026-02-12,,FALSE,Yes,일반안내,404-0039046-2605913,B09JFSCLDZ,ACS03989,,,2,0,0,3-5,5,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155718,
1000155730,2026-08-18,2026-08-18,IN,CASE,4. Product Issue,SQ_website,(Case)_황변,2차_(Refund Inquiry)_환불재안내,iPhone 16 Pro Max,Ultra Hybrid,,,2026-01-26,,FALSE,Yes,일반안내,"407-4344621-4993123, 403-2526168-0818712",B0D21W5MWR,ACS07993,,,3,1,1,3-5,5,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155730,
1000155731,2026-08-17,2026-08-17,IN,CASE,4. Product Issue,spigen.support@spigen.com,(Case)_황변,,iPhone 14 Pro Max,Ultra Hybrid S MagFit,,,2026-02-07,,FALSE,Yes,환불,408-3875693-5873137,B0DY7M8QNH,ACS09476,,,2,0,0,2,2,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155731,0
1000155738,2026-08-23,2026-08-23,DE,CASE,4. Product Issue,spigen.support@spigen.com,(Case)_황변,,iPhone 17 Pro Max,Ultra Hybrid T MagFit,,,2025-09-29,,FALSE,Yes,환불,028-8874594-0779507,B0FH5SRK6L,ACS10467,,,3,0,0,3-5,4,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155738,0
1000155761,2026-08-14,2026-08-14,DE,SDA,6. Product Inquiry,Amazon Buyer Message,(Product Inquiry)_상품문의,,Other (ODM),LF300,,,,상품 문의,TRUE,No,일반안내,해당없음,B0G2VDKPH2,AFA11229,,1,N/A,N/A,N/A,3-5,3,2960,1400,https://spigenhelp.zendesk.com/agent/tickets/1000155761,
1000155762,2026-08-17,2026-08-17,UK,CASE,4. Product Issue,SQ_website,(Case)_힌지파손,,Galaxy Z Fold 6,Tough Armor Pro P,,,2025-07-08,,FALSE,Yes,도움불가,206-9164075-7693918,B0CXVC2K32,ACS07826,,,4,0,0,3-5,3,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155762,0
1000155768,2026-08-14,2026-08-14,IT,CASE,6. Product Inquiry,SQ_website,(Sales Inquiry)_재입고관련문의,,Galaxy_others,Liquid Air,,,,출시/재입고 문의,TRUE,Yes,일반안내,No Order,B0BL8KJ5C4,ACS05905,1,1,N/A,N/A,N/A,2,2,2820,1895,https://spigenhelp.zendesk.com/agent/tickets/1000155768,
1000155775,2026-08-19,2026-08-19,IN,SDA,4. Product Issue,spigen.support@spigen.com,(SDA)_파손,2차_(Refund Inquiry)_환불재안내,Galaxy Watch 7 (44mm),Rugged Armor Pro,,,2025-10-07,,FALSE,Yes,50% 환불,405-8842810-5364318,B0D5JLTMHB,ACS08338,,,1,0,0,3-5,4,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155775,
1000155776,2026-08-14,2026-08-14,UK,CASE,4. Product Issue,SQ_website,(Case)_황변,,iPhone 15 Pro,Ultra Hybrid MagFit,,,2026-05-08,,FALSE,Yes,환불,203-3538487-9776302,B0C5S8LX7X,ACS06715,,,1,0,0,2,2,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155776,0
1000155779,2026-08-16,2026-08-16,IN,CASE,4. Product Issue,SQ_website,(Case)_코팅벗겨짐,,iPhone 13,Slim Armor CS,,,2025-08-14,,FALSE,Yes,도움불가,406-3967776-6751553,B096HG9FNP,ACS03536,,,1,0,0,2,2,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155779,
1000155787,2026-08-17,2026-08-17,ES,CASE,4. Product Issue,SQ_website,(Case)_황변,,Google Pixel 10 Pro,Ultra Hybrid MagFit,,,2026-03-13,,FALSE,Yes,환불,406-7959519-2833149,B0F49GQVQ4,ACS09702,,,1,0,0,2,2,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155787,0
1000155808,2026-08-18,2026-08-18,IN,CASE,4. Product Issue,SQ_website,(Case)_황변,,iPhone 16 Pro,Ultra Hybrid MagFit,,,2026-03-26,,FALSE,Yes,환불,171-8455526-4581131,B0D21ZYC2W,ACS08137,,,4,0,0,3-5,4,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155808,
1000155809,2026-08-16,2026-08-16,FR,Newbiz,4. Product Issue,SQ_website,(New Biz)_부착떨어짐,2차_(Other Inquiry)_감사인사,Galaxy S26 Ultra,(New Biz)_ITS35WC,,,2024-10-03,,FALSE,Yes,환불,404-8679852-6426721,B0CP338FH2,ACP07405,,,7,1,0,3-5,4,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155809,0
1000155810,2026-08-17,2026-08-17,IN,CASE,4. Product Issue,spigen.support@spigen.com,(Case)_황변,,Galaxy S23 FE,CYRILL_UltraSheer,,,2026-01-22,,FALSE,Yes,환불,405-2480792-8773963,B0F1NH1JNF,ACS06387,,,3,0,0,3-5,4,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155810,
1000155824,2026-08-15,2026-08-15,DE,CASE,4. Product Issue,SQ_website,(Case)_카메라커버이슈,,Galaxy S26 Ultra,Optik Armor,,,2026-04-22,MCF발송,TRUE,Yes,MCF 발송,304-4435321-2165901,B0FVBPV3QF,ACS11040,1,,1,0,0,3-5,5,38,422,https://spigenhelp.zendesk.com/agent/tickets/1000155824,1
1000155831,2026-08-18,2026-08-18,ES,CASE,4. Product Issue,SQ_website,(Case)_카메라커버이슈,,Galaxy S26 Ultra,Optik Armor,,,2026-03-08,MCF발송,TRUE,Yes,MCF 발송,404-0268001-9424374,B0FVBPV3QF,ACS11040,1,,2,0,0,3-5,3,107,0,https://spigenhelp.zendesk.com/agent/tickets/1000155831,1
1000155832,2026-08-20,2026-08-20,IT,SP,4. Product Issue,SQ_website,(SP)_먼지유입,,iPhone 17 Pro,SP_Glas.tR EZ Fit Slim,,,2026-07-27,MCF발송,TRUE,Yes,환불,405-4116068-2563531,B0D84YX465,AGL07928,1,,1,0,0,>5,6,55,0,https://spigenhelp.zendesk.com/agent/tickets/1000155832,0
1000155833,2026-08-15,2026-08-15,JP,SDA,4. Product Issue,Amazon Buyer Message,(SDA)_부착떨어짐,,AirPods Pro 3,Rugged Armor,,,2025-09-24,,FALSE,Yes,환불,249-0408695-6121438,B0FCV8KYYK,ACS09822,,,1,0,0,3-5,4,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155833,
1000155836,2026-08-14,2026-08-14,IN,CASE,4. Product Issue,spigen.support@spigen.com,(Case)_황변,,Google Pixel 10 Pro,Ultra Hybrid,,,2026-03-19,,FALSE,Yes,일반안내,404-2551346-1872327,B0F49D7HWT,ACS09715,,,1,0,0,2,2,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155836,0
1000155841,2026-08-14,2026-08-14,etc.,PAcc.,4. Product Issue,spigen.support@spigen.com,(PAcc.)_충전불량,,알 수 없음_추가정보 필요,Power Accessories,,,,,FALSE,No,일반안내,해당없음,해당없음,해당없음,,,N/A,N/A,N/A,2,2,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155841,
1000155855,2026-08-14,2026-08-14,IN,PAcc.,4. Product Issue,spigen.support@spigen.com,(PAcc.)_충전불량,,알 수 없음_추가정보 필요,Power Accessories,EB10020CCA,,2026-02-23,,FALSE,No,일반안내,404-0477892-4748301,B0G6K71VHS,ACA10827,,,1,0,0,2,2,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155855,
1000155862,2026-08-17,2026-08-17,IN,PAcc.,4. Product Issue,spigen.support@spigen.com,(PAcc.)_충전불량,,알 수 없음_추가정보 필요,Power Accessories,PE2302,,2025-05-01,,FALSE,No,회수 (교품/환불),405-8959879-2513954,B0DL6DG9DQ,ACH06946,,,3,0,0,1,1,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155862,
1000155869,2026-08-20,2026-08-20,IN,CASE,4. Product Issue,SQ_website,(Urgent)_기기손상,2차_(Refund Inquiry)_환불재안내,Galaxy S24 Ultra,Liquid Air,,,2025-09-22,,FALSE,Yes,환불,406-5602275-4464306,B0CM4VL4Z5,ACS07287,,,3,0,0,3-5,4,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155869,
1000155875,2026-08-14,2026-08-14,ES,SP,4. Product Issue,SQ_website,(SP)_디바이스와맞지않음,2차_(Other Inquiry)_감사인사,iPhone 11,SP_Glas.tR EZ Fit Slim,,,2026-05-06,,FALSE,Yes,환불,404-3633105-5270716,B07GX33WVR,064GL25166,,,5,0,0,3-5,3,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155875,1
1000155876,2026-08-23,2026-08-23,DE,CASE,4. Product Issue,SQ_website,(Case)_황변,,Galaxy S25 Ultra,Ultra Hybrid MagFit,,,2025-09-17,,FALSE,Yes,환불,306-1295957-2531513,B0DJ9TQLD1,ACS08956,,,1,0,0,3-5,3,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155876,0
1000155879,2026-08-14,2026-08-14,FR,CASE,4. Product Issue,SQ_website,(Case)_황변,,iPhone 17 Pro Max,Ultra Hybrid MagFit,,,2026-03-01,,FALSE,Yes,환불,402-2228092-8098708,B0FD1TT96X,ACS10035,,,2,0,0,2,2,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155879,0
1000155889,2026-08-16,2026-08-16,UK,SDA,4. Product Issue,SQ_website,(SDA)_킥스탠드이슈,,Galaxy Tab S9 (23),Tough Armor Pro,,,2026-05-31,,FALSE,Yes,환불,026-1110220-1912342,B0C4G5SCV8,ACS06837,,,2,0,0,2,2,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155889,0
1000155896,2026-08-15,2026-08-15,IN,CASE,4. Product Issue,spigen.support@spigen.com,(Case)_분리/이탈,,iPhone 15 Plus,Ultra Hybrid,,,,,FALSE,Yes,일반안내,해당없음,해당없음,해당없음,,,N/A,N/A,N/A,2,2,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155896,
1000155897,2026-08-22,2026-08-22,ES,CASE,1. Invoice,Amazon Buyer Message,(Invoice)_invoice발행관련,,INVOICE - Spigen (Cases),Liquid Air T MagFit,,,2026-06-23,,FALSE,No,일반안내,407-7123649-7523555,B0DLCXDF2W,ACP10511,,,N/A,N/A,N/A,2,2,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155897,0
1000155899,2026-08-15,2026-08-15,UK,CASE,4. Product Issue,SQ_website,(Case)_힌지돌기파손,,Galaxy Z Fold 7,Tough Armor Pro MagFit,,,2025-11-24,,FALSE,Yes,도움불가,205-8236364-1466706,B0F1B7GKC9,ACS09550,,,1,0,0,3-5,3,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155899,0
1000155902,2026-08-16,2026-08-16,JP,CASE,2. Delivery,Amazon Buyer Message,(Delivery Inquiry)_배송기간문의,,Galaxy Z Fold 8,Air Skin Aramid MagFit,,,2026-07-31,출시/재입고 문의,TRUE,No,일반안내,250-0197154-2374208,B0GMSKSKX8,ACS11561,1,1,N/A,N/A,N/A,3-5,3,120,166,https://spigenhelp.zendesk.com/agent/tickets/1000155902,
1000155903,2026-08-20,2026-08-20,IN,CASE,4. Product Issue,spigen.support@spigen.com,(Case)_황변,,Galaxy S25,Ultra Hybrid,,,2025-09-02,,FALSE,Yes,환불,171-1000667-2373947,B0DJ9W33H5,ACS08985,,,1,0,0,2,2,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155903,
1000155905,2026-08-14,2026-08-14,UK,CASE,4. Product Issue,SQ_website,(Case)_황변,,iPhone 17 Pro,Ultra Hybrid,,,2026-02-26,,FALSE,Yes,환불,202-5714093-5898766,B0FD2GGXR5,ACS10064,,,5,0,0,3-5,3,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155905,0
1000155911,2026-08-14,2026-08-14,UK,CASE,4. Product Issue,SQ_website,(Case)_버튼부파손,2차_(Other Inquiry)_감사인사,Galaxy S26 Ultra,Tough Armor MagFit,,,2026-06-23,,FALSE,Yes,환불,203-7772763-5633107,B0FVBHT64R,ACS11033,,,6,5,0,3-5,3,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155911,0
1000155912,2026-08-17,2026-08-17,IN,PAcc.,4. Product Issue,spigen.support@spigen.com,(PAcc.)_충전불량,,알 수 없음_추가정보 필요,Power Accessories,PA2001,,2025-12-31,,FALSE,Yes,회수 (교품/환불),405-6839828-3809928,B0C5D7BM1L,ABA06064,,,18,2,0,0,0,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000155912,
1000155917,2026-08-16,2026-08-16,IT,SP,4. Product Issue,SQ_website,(SP)_터치인식,,iPad Air 11 (25),SP_Glas.tR EZ Fit Slim,,,2026-07-03,MCF발송,TRUE,Yes,일반안내,402-6396172-6287558,B0CWSGYNLF,AGL07798,1,,1,0,0,3-5,3,130,0,https://spigenhelp.zendesk.com/agent/tickets/1000155917,0
